,ix_radios,ix_circuitos,pertenencia,dpto_merge,DPTO,LINK,circuito
0,328,54.0,1.0,azul,6049,060492002,0062
1,342,54.0,0.988,azul,6049,060492005,0062
2,371,54.0,1.0,azul,6049,060492001,0062
3,385,54.0,0.284,azul,6049,060492004,0062
4,386,54.0,0.995,azul,6049,060492006,0062
5,410,54.0,1.0,azul,6049,060492007,0062
6,342,56.0,0.011,azul,6049,060492005,0062B
7,375,56.0,0.997,azul,6049,060492102,0062B
8,399,56.0,0.991,azul,6049,060492101,0062B
9,385,55.0,0.686,azul,6049,060492004,0062A
10,380,55.0,1.0,azul,6049,060492003,0062A
11,333,60.0,0.42,azul,6049,060490406,0066
12,339,60.0,0.986,azul,6049,060490301,0066
13,340,60.0,0.524,azul,6049,060490302,0066
14,345,60.0,1.0,azul,6049,060490403,0066
15,352,60.0,0.042,azul,6049,060492505,0066
16,373,60.0,0.995,azul,6049,060490401,0066
17,395,60.0,0.788,azul,6049,060490404,0066
18,415,60.0,1.0,azul,6049,060490402,0066
19,333,52.0,0.58,azul,6049,060490406,0060
20,352,52.0,0.958,azul,6049,060492505,0060
21,395,52.0,0.212,azul,6049,060490404,0060
22,329,52.0,0.992,azul,6049,060492501,0060
23,330,52.0,1.0,azul,6049,060490109,0060
24,331,52.0,1.0,azul,6049,060490208,0060
25,332,52.0,1.0,azul,6049,060490213,0060
26,334,52.0,1.0,azul,6049,060490507,0060
27,335,52.0,1.0,azul,6049,060490604,0060
28,336,52.0,1.0,azul,6049,060490610,0060
29,343,52.0,1.0,azul,6049,060490206,0060
30,344,52.0,1.0,azul,6049,060490209,0060
31,346,52.0,1.0,azul,6049,060490405,0060
32,347,52.0,1.0,azul,6049,060490505,0060
33,348,52.0,1.0,azul,6049,060490613,0060
34,355,52.0,1.0,azul,6049,060490104,0060
35,356,52.0,1.0,azul,6049,060490105,0060
36,357,52.0,1.0,azul,6049,060490108,0060
37,358,52.0,1.0,azul,6049,060490114,0060
38,359,52.0,1.0,azul,6049,060490202,0060
39,360,52.0,1.0,azul,6049,060490204,0060
40,361,52.0,1.0,azul,6049,060490602,0060
41,367,52.0,1.0,azul,6049,060490211,0060
42,368,52.0,1.0,azul,6049,060490506,0060
43,369,52.0,1.0,azul,6049,060490606,0060
44,370,52.0,1.0,azul,6049,060490615,0060
45,372,52.0,1.0,azul,6049,060492507,0060
46,377,52.0,1.0,azul,6049,060490210,0060
47,378,52.0,1.0,azul,6049,060490608,0060
48,381,52.0,1.0,azul,6049,060492503,0060
49,382,52.0,1.0,azul,6049,060492502,0060
50,383,52.0,1.0,azul,6049,060492509,0060
51,387,52.0,1.0,azul,6049,060490201,0060
52,388,52.0,1.0,azul,6049,060490501,0060
53,390,52.0,1.0,azul,6049,060490102,0060
54,391,52.0,1.0,azul,6049,060490103,0060
55,392,52.0,1.0,azul,6049,060490106,0060
56,393,52.0,1.0,azul,6049,060490113,0060
57,394,52.0,1.0,azul,6049,060490116,0060
58,396,52.0,1.0,azul,6049,060490609,0060
59,397,52.0,1.0,azul,6049,060492508,0060
60,398,52.0,1.0,azul,6049,060492510,0060
61,400,52.0,0.983,azul,6049,060490407,0060
62,401,52.0,1.0,azul,6049,060490612,0060
63,402,52.0,1.0,azul,6049,060490107,0060
64,403,52.0,1.0,azul,6049,060490110,0060
65,404,52.0,1.0,azul,6049,060490115,0060
66,405,52.0,1.0,azul,6049,060490203,0060
67,406,52.0,1.0,azul,6049,060490207,0060
68,407,52.0,1.0,azul,6049,060490212,0060
69,408,52.0,1.0,azul,6049,060490502,0060
70,409,52.0,1.0,azul,6049,060490603,0060
71,411,52.0,1.0,azul,6049,060492504,0060
72,416,52.0,1.0,azul,6049,060490101,0060
73,417,52.0,1.0,azul,6049,060490111,0060
74,418,52.0,1.0,azul,6049,060490112,0060
75,419,52.0,1.0,azul,6049,060490205,0060
76,420,52.0,1.0,azul,6049,060490503,0060
77,421,52.0,1.0,azul,6049,060490504,0060
78,422,52.0,1.0,azul,6049,060490508,0060
79,423,52.0,1.0,azul,6049,060490601,0060
80,424,52.0,1.0,azul,6049,060490605,0060
81,425,52.0,1.0,azul,6049,060490607,0060
82,426,52.0,1.0,azul,6049,060490611,0060
83,427,52.0,1.0,azul,6049,060490614,0060
84,429,52.0,1.0,azul,6049,060492506,0060
85,432,52.0,0.993,azul,6049,060491701,0060
86,340,53.0,0.47,azul,6049,060490302,0061
87,400,53.0,0.012,azul,6049,060490407,0061
88,341,53.0,0.888,azul,6049,060491801,0061
89,433,53.0,0.997,azul,6049,060491901,0061
90,337,62.0,1.0,azul,6049,060490701,0068
91,353,62.0,0.99,azul,6049,060490702,0068
92,384,62.0,0.989,azul,6049,060490801,0068
93,338,61.0,1.0,azul,6049,060491006,0067
94,349,61.0,1.0,azul,6049,060491004,0067
95,350,61.0,1.0,azul,6049,060491005,0067
96,351,61.0,1.0,azul,6049,060491008,0067
97,362,61.0,1.0,azul,6049,060491007,0067
98,364,61.0,0.972,azul,6049,060491009,0067
99,379,61.0,1.0,azul,6049,060491001,0067
100,389,61.0,1.0,azul,6049,060491002,0067
101,412,61.0,0.927,azul,6049,060491102,0067
102,428,61.0,1.0,azul,6049,060491003,0067
103,430,61.0,0.831,azul,6049,060491101,0067
104,341,57.0,0.11,azul,6049,060491801,0063
105,354,57.0,0.995,azul,6049,060492301,0063
106,434,57.0,0.996,azul,6049,060492201,0063
107,365,58.0,0.013,azul,6049,060491402,0064
108,366,58.0,0.995,azul,6049,060491601,0064
109,374,58.0,0.992,azul,6049,060491501,0064
110,414,58.0,0.021,azul,6049,060491401,0064
111,365,59.0,0.986,azul,6049,060491402,0065
112,414,59.0,0.969,azul,6049,060491401,0065
113,363,59.0,0.983,azul,6049,060490901,0065
114,376,59.0,0.978,azul,6049,060492401,0065
115,413,59.0,0.011,azul,6049,060491301,0065
116,414,63.0,0.01,azul,6049,060491401,0069
117,413,63.0,0.989,azul,6049,060491301,0069
118,431,63.0,0.956,azul,6049,060491201,0069
119,650,82.0,0.056,bahia blanca,6056,060562708,0092
120,678,82.0,1.0,bahia blanca,6056,060562306,0092
121,679,82.0,0.991,bahia blanca,6056,060562307,0092
122,690,82.0,1.0,bahia blanca,6056,060562313,0092
123,720,82.0,0.969,bahia blanca,6056,060562309,0092
124,721,82.0,0.981,bahia blanca,6056,060562310,0092
125,816,82.0,0.932,bahia blanca,6056,060562316,0092
126,872,82.0,0.614,bahia blanca,6056,060562312,0092
127,919,82.0,0.109,bahia blanca,6056,060562301,0092
128,960,82.0,1.0,bahia blanca,6056,060562305,0092
129,961,82.0,0.992,bahia blanca,6056,060562314,0092
130,962,82.0,1.0,bahia blanca,6056,060562315,0092
131,994,82.0,0.232,bahia blanca,6056,060560815,0092
132,1018,82.0,0.9,bahia blanca,6056,060562308,0092
133,1019,82.0,0.201,bahia blanca,6056,060562311,0092
134,650,68.0,0.852,bahia blanca,6056,060562708,0076
135,651,68.0,1.0,bahia blanca,6056,060560711,0076
136,661,68.0,1.0,bahia blanca,6056,060560503,0076
137,662,68.0,1.0,bahia blanca,6056,060560605,0076
138,664,68.0,0.126,bahia blanca,6056,060560810,0076
139,683,68.0,1.0,bahia blanca,6056,060562615,0076
140,684,68.0,1.0,bahia blanca,6056,060562704,0076
141,685,68.0,1.0,bahia blanca,6056,060562705,0076
142,695,68.0,1.0,bahia blanca,6056,060560508,0076
143,696,68.0,0.394,bahia blanca,6056,060560701,0076
144,697,68.0,0.976,bahia blanca,6056,060560806,0076
145,726,68.0,1.0,bahia blanca,6056,060562616,0076
146,728,68.0,1.0,bahia blanca,6056,060562603,0076
147,729,68.0,0.858,bahia blanca,6056,060562604,0076
148,730,68.0,1.0,bahia blanca,6056,060562617,0076
149,733,68.0,1.0,bahia blanca,6056,060560801,0076
150,737,68.0,0.31,bahia blanca,6056,060560506,0076
151,738,68.0,1.0,bahia blanca,6056,060560601,0076
152,739,68.0,1.0,bahia blanca,6056,060560706,0076
153,740,68.0,1.0,bahia blanca,6056,060560707,0076
154,741,68.0,1.0,bahia blanca,6056,060560709,0076
155,772,68.0,1.0,bahia blanca,6056,060562707,0076
156,774,68.0,0.997,bahia blanca,6056,060562701,0076
157,793,68.0,0.994,bahia blanca,6056,060560502,0076
158,794,68.0,1.0,bahia blanca,6056,060560705,0076
159,795,68.0,1.0,bahia blanca,6056,060560708,0076
160,796,68.0,0.994,bahia blanca,6056,060560803,0076
161,823,68.0,1.0,bahia blanca,6056,060562702,0076
162,824,68.0,1.0,bahia blanca,6056,060562706,0076
163,837,68.0,1.0,bahia blanca,6056,060560604,0076
164,838,68.0,1.0,bahia blanca,6056,060560606,0076
165,840,68.0,1.0,bahia blanca,6056,060560710,0076
166,842,68.0,0.966,bahia blanca,6056,060560805,0076
167,843,68.0,0.095,bahia blanca,6056,060560808,0076
168,844,68.0,0.762,bahia blanca,6056,060560811,0076
169,888,68.0,0.299,bahia blanca,6056,060560507,0076
170,889,68.0,0.957,bahia blanca,6056,060560704,0076
171,890,68.0,1.0,bahia blanca,6056,060560802,0076
172,913,68.0,0.726,bahia blanca,6056,060562602,0076
173,914,68.0,0.038,bahia blanca,6056,060562605,0076
174,915,68.0,0.227,bahia blanca,6056,060562606,0076
175,916,68.0,0.064,bahia blanca,6056,060562613,0076
176,917,68.0,1.0,bahia blanca,6056,060562618,0076
177,927,68.0,1.0,bahia blanca,6056,060560504,0076
178,928,68.0,1.0,bahia blanca,6056,060560505,0076
179,929,68.0,1.0,bahia blanca,6056,060560602,0076
180,930,68.0,1.0,bahia blanca,6056,060560603,0076
181,931,68.0,1.0,bahia blanca,6056,060560607,0076
182,932,68.0,1.0,bahia blanca,6056,060560608,0076
183,933,68.0,0.589,bahia blanca,6056,060560703,0076
184,934,68.0,0.996,bahia blanca,6056,060560804,0076
185,971,68.0,1.0,bahia blanca,6056,060562619,0076
186,972,68.0,1.0,bahia blanca,6056,060562703,0076
187,991,68.0,1.0,bahia blanca,6056,060560509,0076
188,992,68.0,1.0,bahia blanca,6056,060560609,0076
189,993,68.0,0.709,bahia blanca,6056,060560807,0076
190,1025,68.0,1.0,bahia blanca,6056,060562614,0076
191,720,78.0,0.031,bahia blanca,6056,060562309,0088
192,721,78.0,0.019,bahia blanca,6056,060562310,0088
193,872,78.0,0.384,bahia blanca,6056,060562312,0088
194,919,78.0,0.013,bahia blanca,6056,060562301,0088
195,1018,78.0,0.1,bahia blanca,6056,060562308,0088
196,1019,78.0,0.799,bahia blanca,6056,060562311,0088
197,680,78.0,0.015,bahia blanca,6056,060562503,0088
198,681,78.0,0.052,bahia blanca,6056,060562504,0088
199,777,78.0,0.901,bahia blanca,6056,060563202,0088
200,873,78.0,0.093,bahia blanca,6056,060562401,0088
201,817,78.0,0.068,bahia blanca,6056,060562404,0088
202,909,78.0,0.056,bahia blanca,6056,060562408,0088
203,1021,78.0,0.054,bahia blanca,6056,060562405,0088
204,687,78.0,1.0,bahia blanca,6056,060563205,0088
205,688,78.0,1.0,bahia blanca,6056,060563209,0088
206,689,78.0,1.0,bahia blanca,6056,060563211,0088
207,776,78.0,0.991,bahia blanca,6056,060563212,0088
208,825,78.0,1.0,bahia blanca,6056,060563203,0088
209,826,78.0,1.0,bahia blanca,6056,060563206,0088
210,828,78.0,0.996,bahia blanca,6056,060563204,0088
211,830,78.0,1.0,bahia blanca,6056,060563210,0088
212,973,78.0,1.0,bahia blanca,6056,060563207,0088
213,974,78.0,1.0,bahia blanca,6056,060563208,0088
214,975,78.0,0.999,bahia blanca,6056,060563201,0088
215,919,77.0,0.198,bahia blanca,6056,060562301,0087
216,675,77.0,0.467,bahia blanca,6056,060561809,0087
217,813,77.0,0.648,bahia blanca,6056,060561810,0087
218,947,77.0,0.694,bahia blanca,6056,060561807,0087
219,674,77.0,0.529,bahia blanca,6056,060561804,0087
220,710,77.0,0.857,bahia blanca,6056,060561805,0087
221,812,77.0,0.686,bahia blanca,6056,060561806,0087
222,862,77.0,0.065,bahia blanca,6056,060561803,0087
223,964,77.0,0.011,bahia blanca,6056,060562407,0087
224,676,77.0,1.0,bahia blanca,6056,060561903,0087
225,677,77.0,1.0,bahia blanca,6056,060561909,0087
226,711,77.0,0.894,bahia blanca,6056,060561905,0087
227,712,77.0,1.0,bahia blanca,6056,060561908,0087
228,713,77.0,1.0,bahia blanca,6056,060561912,0087
229,764,77.0,1.0,bahia blanca,6056,060561911,0087
230,765,77.0,1.0,bahia blanca,6056,060561913,0087
231,766,77.0,0.141,bahia blanca,6056,060561914,0087
232,863,77.0,1.0,bahia blanca,6056,060561904,0087
233,864,77.0,1.0,bahia blanca,6056,060561906,0087
234,903,77.0,0.991,bahia blanca,6056,060561808,0087
235,904,77.0,1.0,bahia blanca,6056,060561910,0087
236,948,77.0,0.79,bahia blanca,6056,060561901,0087
237,949,77.0,1.0,bahia blanca,6056,060561902,0087
238,950,77.0,1.0,bahia blanca,6056,060561907,0087
239,1013,77.0,0.3,bahia blanca,6056,060562010,0087
240,1017,77.0,0.209,bahia blanca,6056,060562302,0087
241,919,81.0,0.429,bahia blanca,6056,060562301,0091
242,909,81.0,0.925,bahia blanca,6056,060562408,0091
243,965,81.0,0.987,bahia blanca,6056,060562414,0091
244,711,81.0,0.106,bahia blanca,6056,060561905,0091
245,948,81.0,0.21,bahia blanca,6056,060561901,0091
246,722,81.0,1.0,bahia blanca,6056,060562412,0091
247,723,81.0,1.0,bahia blanca,6056,060562416,0091
248,770,81.0,1.0,bahia blanca,6056,060562415,0091
249,818,81.0,1.0,bahia blanca,6056,060562409,0091
250,819,81.0,1.0,bahia blanca,6056,060562413,0091
251,874,81.0,1.0,bahia blanca,6056,060562411,0091
252,910,81.0,1.0,bahia blanca,6056,060562417,0091
253,1022,81.0,1.0,bahia blanca,6056,060562410,0091
254,919,66.0,0.25,bahia blanca,6056,060562301,0074
255,718,66.0,0.067,bahia blanca,6056,060562111,0074
256,867,66.0,0.305,bahia blanca,6056,060562104,0074
257,952,66.0,0.764,bahia blanca,6056,060562101,0074
258,953,66.0,0.515,bahia blanca,6056,060562102,0074
259,954,66.0,0.324,bahia blanca,6056,060562108,0074
260,1011,66.0,0.322,bahia blanca,6056,060562008,0074
261,769,66.0,0.117,bahia blanca,6056,060562216,0074
262,868,66.0,0.98,bahia blanca,6056,060562110,0074
263,956,66.0,0.625,bahia blanca,6056,060562207,0074
264,957,66.0,0.076,bahia blanca,6056,060562209,0074
265,766,66.0,0.859,bahia blanca,6056,060561914,0074
266,1013,66.0,0.697,bahia blanca,6056,060562010,0074
267,1017,66.0,0.791,bahia blanca,6056,060562302,0074
268,715,66.0,1.0,bahia blanca,6056,060562103,0074
269,719,66.0,1.0,bahia blanca,6056,060562214,0074
270,767,66.0,1.0,bahia blanca,6056,060562210,0074
271,768,66.0,1.0,bahia blanca,6056,060562215,0074
272,779,66.0,1.0,bahia blanca,6056,060562109,0074
273,814,66.0,1.0,bahia blanca,6056,060562206,0074
274,815,66.0,1.0,bahia blanca,6056,060562212,0074
275,869,66.0,1.0,bahia blanca,6056,060562201,0074
276,870,66.0,1.0,bahia blanca,6056,060562205,0074
277,908,66.0,1.0,bahia blanca,6056,060562211,0074
278,955,66.0,1.0,bahia blanca,6056,060562203,0074
279,958,66.0,1.0,bahia blanca,6056,060562303,0074
280,959,66.0,1.0,bahia blanca,6056,060562304,0074
281,1012,66.0,0.999,bahia blanca,6056,060562009,0074
282,1014,66.0,1.0,bahia blanca,6056,060562202,0074
283,1015,66.0,1.0,bahia blanca,6056,060562204,0074
284,1016,66.0,1.0,bahia blanca,6056,060562213,0074
285,994,83.0,0.767,bahia blanca,6056,060560815,0093
286,844,83.0,0.238,bahia blanca,6056,060560811,0093
287,718,83.0,0.643,bahia blanca,6056,060562111,0093
288,845,83.0,0.602,bahia blanca,6056,060560813,0093
289,846,83.0,0.574,bahia blanca,6056,060560814,0093
290,769,83.0,0.883,bahia blanca,6056,060562216,0093
291,798,83.0,1.0,bahia blanca,6056,060560812,0093
292,868,83.0,0.02,bahia blanca,6056,060562110,0093
293,871,83.0,1.0,bahia blanca,6056,060562217,0093
294,907,83.0,1.0,bahia blanca,6056,060562208,0093
295,956,83.0,0.375,bahia blanca,6056,060562207,0093
296,957,83.0,0.924,bahia blanca,6056,060562209,0093
297,664,65.0,0.873,bahia blanca,6056,060560810,0073
298,697,65.0,0.011,bahia blanca,6056,060560806,0073
299,842,65.0,0.034,bahia blanca,6056,060560805,0073
300,843,65.0,0.89,bahia blanca,6056,060560808,0073
301,933,65.0,0.025,bahia blanca,6056,060560703,0073
302,993,65.0,0.291,bahia blanca,6056,060560807,0073
303,652,65.0,1.0,bahia blanca,6056,060562001,0073
304,660,65.0,0.055,bahia blanca,6056,060560408,0073
305,663,65.0,1.0,bahia blanca,6056,060560809,0073
306,665,65.0,1.0,bahia blanca,6056,060560907,0073
307,666,65.0,0.894,bahia blanca,6056,060561003,0073
308,714,65.0,1.0,bahia blanca,6056,060562002,0073
309,716,65.0,1.0,bahia blanca,6056,060562105,0073
310,717,65.0,0.999,bahia blanca,6056,060562107,0073
311,718,65.0,0.291,bahia blanca,6056,060562111,0073
312,742,65.0,0.084,bahia blanca,6056,060561007,0073
313,743,65.0,1.0,bahia blanca,6056,060560904,0073
314,744,65.0,1.0,bahia blanca,6056,060560908,0073
315,745,65.0,1.0,bahia blanca,6056,060560909,0073
316,746,65.0,0.747,bahia blanca,6056,060561011,0073
317,778,65.0,1.0,bahia blanca,6056,060562003,0073
318,780,65.0,1.0,bahia blanca,6056,060561008,0073
319,781,65.0,0.311,bahia blanca,6056,060561009,0073
320,791,65.0,0.319,bahia blanca,6056,060560312,0073
321,797,65.0,1.0,bahia blanca,6056,060561006,0073
322,799,65.0,1.0,bahia blanca,6056,060560902,0073
323,800,65.0,1.0,bahia blanca,6056,060560905,0073
324,832,65.0,0.942,bahia blanca,6056,060561004,0073
325,841,65.0,1.0,bahia blanca,6056,060561005,0073
326,845,65.0,0.398,bahia blanca,6056,060560813,0073
327,846,65.0,0.426,bahia blanca,6056,060560814,0073
328,854,65.0,0.428,bahia blanca,6056,060561421,0073
329,865,65.0,1.0,bahia blanca,6056,060562004,0073
330,866,65.0,0.876,bahia blanca,6056,060562007,0073
331,867,65.0,0.695,bahia blanca,6056,060562104,0073
332,891,65.0,1.0,bahia blanca,6056,060560903,0073
333,892,65.0,0.296,bahia blanca,6056,060561001,0073
334,893,65.0,1.0,bahia blanca,6056,060561002,0073
335,905,65.0,1.0,bahia blanca,6056,060562005,0073
336,906,65.0,1.0,bahia blanca,6056,060562106,0073
337,935,65.0,1.0,bahia blanca,6056,060560910,0073
338,951,65.0,0.864,bahia blanca,6056,060562006,0073
339,952,65.0,0.236,bahia blanca,6056,060562101,0073
340,953,65.0,0.485,bahia blanca,6056,060562102,0073
341,954,65.0,0.676,bahia blanca,6056,060562108,0073
342,977,65.0,0.76,bahia blanca,6056,060560901,0073
343,980,65.0,0.69,bahia blanca,6056,060561010,0073
344,990,65.0,0.373,bahia blanca,6056,060560410,0073
345,995,65.0,1.0,bahia blanca,6056,060560906,0073
346,996,65.0,1.0,bahia blanca,6056,060560911,0073
347,1002,65.0,0.247,bahia blanca,6056,060561420,0073
348,1011,65.0,0.641,bahia blanca,6056,060562008,0073
349,696,67.0,0.606,bahia blanca,6056,060560701,0075
350,697,67.0,0.013,bahia blanca,6056,060560806,0075
351,729,67.0,0.142,bahia blanca,6056,060562604,0075
352,737,67.0,0.69,bahia blanca,6056,060560506,0075
353,843,67.0,0.016,bahia blanca,6056,060560808,0075
354,888,67.0,0.701,bahia blanca,6056,060560507,0075
355,889,67.0,0.043,bahia blanca,6056,060560704,0075
356,913,67.0,0.186,bahia blanca,6056,060562602,0075
357,914,67.0,0.962,bahia blanca,6056,060562605,0075
358,915,67.0,0.773,bahia blanca,6056,060562606,0075
359,916,67.0,0.936,bahia blanca,6056,060562613,0075
360,933,67.0,0.386,bahia blanca,6056,060560703,0075
361,660,67.0,0.719,bahia blanca,6056,060560408,0075
362,990,67.0,0.627,bahia blanca,6056,060560410,0075
363,835,67.0,0.021,bahia blanca,6056,060560202,0075
364,694,67.0,0.725,bahia blanca,6056,060560407,0075
365,822,67.0,0.092,bahia blanca,6056,060562607,0075
366,879,67.0,0.807,bahia blanca,6056,060560405,0075
367,970,67.0,0.058,bahia blanca,6056,060562612,0075
368,981,67.0,0.722,bahia blanca,6056,060560406,0075
369,989,67.0,0.386,bahia blanca,6056,060560402,0075
370,792,67.0,1.0,bahia blanca,6056,060560501,0075
371,839,67.0,1.0,bahia blanca,6056,060560702,0075
372,920,67.0,1.0,bahia blanca,6056,060560404,0075
373,925,67.0,1.0,bahia blanca,6056,060560403,0075
374,926,67.0,1.0,bahia blanca,6056,060560409,0075
375,913,70.0,0.061,bahia blanca,6056,060562602,0078
