area_0,area_1,n_electores
Resto 1a Seccion,general la madrid,9500
Resto 1a Seccion,general las heras,12920
Resto 1a Seccion,navarro,14500
Resto 1a Seccion,suipacha,9220
Resto 2a Seccion,capitan sarmiento,12530
Resto 2a Seccion,carmen de areco,12330
Resto 2a Seccion,rojas,20330
Resto 2a Seccion,san andres de giles,19330
Resto 2a Seccion,san antonio de areco,19850
Resto 3a Seccion,ayacucho,17410
Resto 3a Seccion,magdalena,14920
Resto 3a Seccion,punta indio,9520
Resto 4a Seccion,alberti,8950
Resto 4a Seccion,carlos casares,18460
Resto 4a Seccion,carlos tejedor,9830
Resto 4a Seccion,florentino ameghino,7970
Resto 4a Seccion,general arenales,14570
Resto 4a Seccion,general pinto,9690
Resto 4a Seccion,general viamonte,15680
Resto 4a Seccion,hipolito yrigoyen,8000
Resto 4a Seccion,leandro n. alem,14390
Resto 4a Seccion,rivadavia,13970
Resto 5a Seccion,castelli,7550
Resto 5a Seccion,general belgrano,15910
Resto 5a Seccion,general guido,2450
Resto 5a Seccion,general juan madariaga,17690
Resto 5a Seccion,general lavalle,3820
Resto 5a Seccion,general paz,10500
Resto 5a Seccion,loberia,14340
Resto 5a Seccion,maipu,9860
Resto 5a Seccion,monte,18650
Resto 5a Seccion,pila,3140
Resto 5a Seccion,rauch,13560
Resto 5a Seccion,san cayetano,7190
Resto 5a Seccion,tordillo,1520
Resto 6a Seccion,adolfo alsina,14320
Resto 6a Seccion,adolfo gonzales chaves,10480
Resto 6a Seccion,benito juarez,16920
Resto 6a Seccion,coronel de marina l. rosales,19890
Resto 6a Seccion,coronel dorrego,13770
Resto 6a Seccion,coronel pringles,19590
Resto 6a Seccion,daireaux,14460
Resto 6a Seccion,guamini,9820
Resto 6a Seccion,laprida,9370
Resto 6a Seccion,monte hermoso,7810
Resto 6a Seccion,pellegrini,5130
Resto 6a Seccion,puan,14440
Resto 6a Seccion,saavedra,18270
Resto 6a Seccion,salliquelo,7760
Resto 6a Seccion,tornquist,12350
Resto 6a Seccion,tres lomas,6580
Resto 7a Seccion,general alvear,8460
Resto 7a Seccion,roque perez,10270
Resto 7a Seccion,tapalque,8350
almirante brown,00017,25330
almirante brown,00018,31340
almirante brown,00019,96650
almirante brown,00020,33820
almirante brown,00021,54780
almirante brown,00022,40770
almirante brown,0018A,52010
almirante brown,0020A,26500
almirante brown,0021A,13220
almirante brown,0022A,53040
almirante brown,0022B,15640
avellaneda,00023,16980
avellaneda,00024,10410
avellaneda,00025,11330
avellaneda,00026,5170
avellaneda,00027,23760
avellaneda,00030,6140
avellaneda,00031,2460
avellaneda,00032,4190
avellaneda,00033,11860
avellaneda,00034,22180
avellaneda,00037,21380
avellaneda,00038,37900
avellaneda,00039,55820
avellaneda,00040,70580
azul,00060,49880
azul,00061,70
azul,00062,2950
azul,00063,20
azul,00064,10
azul,00065,50
