,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,radio,DPTO,PROV,circuito
344582,4472882,13041,1,1,60492001,6049,6,0062
344418,4472718,13041,1,1,60492001,6049,6,0062
344435,4472735,13041,1,1,60492001,6049,6,0062
344534,4472834,13041,1,1,60492001,6049,6,0062
344918,4473218,13042,1,1,60492002,6049,6,0062
344732,4473032,13041,1,1,60492001,6049,6,0062
344356,4472656,13041,1,1,60492001,6049,6,0062
344803,4473103,13042,1,1,60492002,6049,6,0062
344626,4472926,13041,1,1,60492001,6049,6,0062
344384,4472684,13041,1,1,60492001,6049,6,0062
344451,4472751,13041,1,1,60492001,6049,6,0062
344849,4473149,13042,1,1,60492002,6049,6,0062
345113,4473413,13042,1,1,60492002,6049,6,0062
344619,4472919,13041,1,1,60492001,6049,6,0062
344527,4472827,13041,1,1,60492001,6049,6,0062
344960,4473260,13042,1,1,60492002,6049,6,0062
345662,4473962,13047,1,1,60492007,6049,6,0062
344978,4473278,13042,1,1,60492002,6049,6,0062
345763,4474063,13047,1,1,60492007,6049,6,0062
344525,4472825,13041,1,1,60492001,6049,6,0062
344971,4473271,13042,1,1,60492002,6049,6,0062
345739,4474039,13047,1,1,60492007,6049,6,0062
344657,4472957,13041,1,1,60492001,6049,6,0062
345754,4474054,13047,1,1,60492007,6049,6,0062
344852,4473152,13042,1,1,60492002,6049,6,0062
344965,4473265,13042,1,1,60492002,6049,6,0062
345567,4473867,13047,1,1,60492007,6049,6,0062
344912,4473212,13042,1,1,60492002,6049,6,0062
344850,4473150,13042,1,1,60492002,6049,6,0062
344703,4473003,13041,1,1,60492001,6049,6,0062
344348,4472648,13041,1,1,60492001,6049,6,0062
344661,4472961,13041,1,1,60492001,6049,6,0062
344953,4473253,13042,1,1,60492002,6049,6,0062
344630,4472930,13041,1,1,60492001,6049,6,0062
344545,4472845,13041,1,1,60492001,6049,6,0062
344469,4472769,13041,1,1,60492001,6049,6,0062
344753,4473053,13042,1,4,60492002,6049,6,0062
344928,4473228,13042,1,1,60492002,6049,6,0062
344585,4472885,13041,1,1,60492001,6049,6,0062
344501,4472801,13041,1,1,60492001,6049,6,0062
344436,4472736,13041,1,1,60492001,6049,6,0062
344942,4473242,13042,1,1,60492002,6049,6,0062
344841,4473141,13042,1,1,60492002,6049,6,0062
344840,4473140,13042,1,1,60492002,6049,6,0062
344751,4473051,13042,1,4,60492002,6049,6,0062
344822,4473122,13042,1,1,60492002,6049,6,0062
345116,4473416,13042,1,1,60492002,6049,6,0062
345605,4473905,13047,1,1,60492007,6049,6,0062
345783,4474083,13047,1,1,60492007,6049,6,0062
345594,4473894,13047,1,1,60492007,6049,6,0062
345799,4474099,13047,1,1,60492007,6049,6,0062
344937,4473237,13042,1,1,60492002,6049,6,0062
344647,4472947,13041,1,1,60492001,6049,6,0062
344620,4472920,13041,1,1,60492001,6049,6,0062
345090,4473390,13042,1,1,60492002,6049,6,0062
344464,4472764,13041,1,1,60492001,6049,6,0062
345308,4473608,13045,1,1,60492005,6049,6,0062
345298,4473598,13045,1,1,60492005,6049,6,0062
345278,4473578,13045,1,1,60492005,6049,6,0062
345194,4473494,13044,1,1,60492004,6049,6,0062
345420,4473720,13046,1,1,60492006,6049,6,0062
345403,4473703,13046,1,1,60492006,6049,6,0062
345351,4473651,13046,1,1,60492006,6049,6,0062
345547,4473847,13046,1,1,60492006,6049,6,0062
345433,4473733,13046,1,1,60492006,6049,6,0062
345458,4473758,13046,1,1,60492006,6049,6,0062
345443,4473743,13046,1,1,60492006,6049,6,0062
345520,4473820,13046,1,2,60492006,6049,6,0062
345316,4473616,13046,1,1,60492006,6049,6,0062
345548,4473848,13046,1,1,60492006,6049,6,0062
345905,4474205,13049,1,1,60492102,6049,6,0062B
345896,4474196,13049,1,1,60492102,6049,6,0062B
345931,4474231,13049,1,2,60492102,6049,6,0062B
345935,4474235,13049,1,1,60492102,6049,6,0062B
345877,4474177,13049,1,1,60492102,6049,6,0062B
345843,4474143,13048,1,1,60492101,6049,6,0062B
345806,4474106,13048,1,1,60492101,6049,6,0062B
345848,4474148,13048,1,1,60492101,6049,6,0062B
345192,4473492,13043,1,1,60492003,6049,6,0062A
345147,4473447,13043,1,1,60492003,6049,6,0062A
345197,4473497,13044,1,1,60492004,6049,6,0062A
345213,4473513,13044,1,1,60492004,6049,6,0062A
333463,4461763,12989,1,1,60490403,6049,6,0066
333322,4461622,12988,1,1,60490402,6049,6,0066
333462,4461762,12989,1,1,60490403,6049,6,0066
333388,4461688,12988,1,1,60490402,6049,6,0066
333440,4461740,12988,1,1,60490402,6049,6,0066
333521,4461821,12989,1,1,60490403,6049,6,0066
333356,4461656,12988,1,1,60490402,6049,6,0066
333504,4461804,12989,1,1,60490403,6049,6,0066
333517,4461817,12989,1,1,60490403,6049,6,0066
333535,4461835,12989,1,1,60490403,6049,6,0066
333333,4461633,12988,1,1,60490402,6049,6,0066
333426,4461726,12988,1,1,60490402,6049,6,0066
333336,4461636,12988,1,1,60490402,6049,6,0066
333558,4461858,12989,1,1,60490403,6049,6,0066
333466,4461766,12989,1,1,60490403,6049,6,0066
333357,4461657,12988,1,1,60490402,6049,6,0066
333897,4462197,12992,1,1,60490406,6049,6,0066
334011,4462311,12992,1,1,60490406,6049,6,0066
334029,4462329,12992,1,1,60490406,6049,6,0066
332973,4461273,12985,1,1,60490301,6049,6,0066
333034,4461334,12985,1,1,60490301,6049,6,0066
332997,4461297,12985,1,1,60490301,6049,6,0066
332998,4461298,12985,1,1,60490301,6049,6,0066
332976,4461276,12985,1,1,60490301,6049,6,0066
333063,4461363,12986,1,1,60490302,6049,6,0066
333057,4461357,12986,1,1,60490302,6049,6,0066
333055,4461355,12986,1,1,60490302,6049,6,0066
347691,4475991,13057,1,1,60492505,6049,6,0066
333264,4461564,12987,1,1,60490401,6049,6,0066
333252,4461552,12987,1,1,60490401,6049,6,0066
333170,4461470,12987,1,1,60490401,6049,6,0066
333155,4461455,12987,1,1,60490401,6049,6,0066
333152,4461452,12987,1,1,60490401,6049,6,0066
333133,4461433,12987,1,1,60490401,6049,6,0066
333177,4461477,12987,1,1,60490401,6049,6,0066
333296,4461596,12987,1,1,60490401,6049,6,0066
333207,4461507,12987,1,1,60490401,6049,6,0066
333635,4461935,12990,1,1,60490404,6049,6,0066
333603,4461903,12990,1,1,60490404,6049,6,0066
333725,4462025,12990,1,1,60490404,6049,6,0066
333677,4461977,12990,1,1,60490404,6049,6,0066
325941,4454241,12961,1,1,60490106,6049,6,0060
330776,4459076,12977,1,1,60490206,6049,6,0060
327325,4455625,12965,1,1,60490110,6049,6,0060
326034,4454334,12962,1,1,60490107,6049,6,0060
330183,4458483,12976,1,1,60490205,6049,6,0060
339920,4468220,13010,1,1,60490609,6049,6,0060
337102,4465402,13001,1,1,60490508,6049,6,0060
336764,4465064,13001,1,1,60490508,6049,6,0060
328251,4456551,12969,1,1,60490114,6049,6,0060
338183,4466483,13005,1,1,60490604,6049,6,0060
331707,4460007,12980,1,1,60490209,6049,6,0060
341147,4469447,13014,1,1,60490613,6049,6,0060
338819,4467119,13007,1,1,60490606,6049,6,0060
332158,4460458,12982,1,1,60490211,6049,6,0060
340036,4468336,13010,1,4,60490609,6049,6,0060
327321,4455621,12965,1,1,60490110,6049,6,0060
332019,4460319,12981,1,1,60490210,6049,6,0060
338696,4466996,13007,1,1,60490606,6049,6,0060
340120,4468420,13010,1,4,60490609,6049,6,0060
327671,4455971,12967,1,1,60490112,6049,6,0060
330620,4458920,12977,1,1,60490206,6049,6,0060
340736,4469036,13012,1,1,60490611,6049,6,0060
338707,4467007,13007,1,1,60490606,6049,6,0060
327946,4456246,12968,1,1,60490113,6049,6,0060
335168,4463468,12996,1,1,60490503,6049,6,0060
348665,4476965,13060,1,1,60492508,6049,6,0060
349164,4477464,13061,1,1,60492509,6049,6,0060
349392,4477692,13062,1,1,60492510,6049,6,0060
328651,4456951,12971,1,1,60490116,6049,6,0060
325438,4453738,12960,1,1,60490105,6049,6,0060
331745,4460045,12980,1,1,60490209,6049,6,0060
348923,4477223,13060,1,1,60492508,6049,6,0060
337194,4465494,13002,1,1,60490601,6049,6,0060
332549,4460849,12983,1,1,60490212,6049,6,0060
335956,4464256,12998,1,1,60490505,6049,6,0060
332708,4461008,12984,1,1,60490213,6049,6,0060
335012,4463312,12996,1,1,60490503,6049,6,0060
330844,4459144,12977,1,1,60490206,6049,6,0060
340788,4469088,13013,1,4,60490612,6049,6,0060
341453,4469753,13014,1,1,60490613,6049,6,0060
346898,4475198,13054,1,1,60492502,6049,6,0060
324309,4452609,12957,1,1,60490102,6049,6,0060
324595,4452895,12958,1,1,60490103,6049,6,0060
341909,4470209,13016,1,1,60490615,6049,6,0060
332257,4460557,12982,1,1,60490211,6049,6,0060
334664,4462964,12995,1,1,60490502,6049,6,0060
340610,4468910,13012,1,1,60490611,6049,6,0060
325189,4453489,12959,1,1,60490104,6049,6,0060
