,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,area_1,,,,,,,,,,,,,,,,,,,,,,,
Resto 1a Seccion,general la madrid,9049.0,9482.0,9483.0,7742.0,7020.0,7782.0,3191.0,3243.0,4030.0,2769.0,2133.0,2185.0,547.0,861.0,605.0,989.0,537.0,438.0,146.0,178.0,91.0,177.0,91.0
Resto 1a Seccion,general las heras,11780.0,12219.0,12914.0,9296.0,9672.0,10688.0,2585.0,2846.0,4031.0,3345.0,2904.0,3249.0,2451.0,2476.0,2359.0,781.0,490.0,440.0,404.0,376.0,186.0,301.0,179.0
Resto 1a Seccion,navarro,13342.0,13935.0,14488.0,11163.0,11141.0,11607.0,4335.0,4887.0,5685.0,4418.0,3241.0,3713.0,1388.0,1004.0,789.0,984.0,647.0,588.0,855.0,789.0,115.0,205.0,126.0
Resto 1a Seccion,suipacha,9053.0,8889.0,9227.0,7856.0,7095.0,7441.0,3154.0,2531.0,3362.0,2848.0,2117.0,2250.0,709.0,707.0,650.0,765.0,440.0,333.0,604.0,720.0,95.0,168.0,133.0
Resto 2a Seccion,capitan sarmiento,11654.0,12195.0,12534.0,9141.0,8887.0,10069.0,3287.0,3828.0,5206.0,2596.0,1939.0,2106.0,1579.0,1413.0,1314.0,1478.0,570.0,879.0,336.0,331.0,122.0,187.0,153.0
Resto 2a Seccion,carmen de areco,12471.0,11994.0,12336.0,9651.0,9316.0,9980.0,3623.0,3995.0,4898.0,3786.0,2087.0,2426.0,1137.0,1162.0,803.0,1628.0,1225.0,1135.0,397.0,403.0,64.0,151.0,127.0
Resto 2a Seccion,rojas,19766.0,20012.0,20344.0,16187.0,14844.0,15888.0,7230.0,6693.0,8883.0,3133.0,3317.0,3642.0,3354.0,2817.0,1902.0,1980.0,919.0,873.0,531.0,589.0,200.0,364.0,355.0
Resto 2a Seccion,san andres de giles,18564.0,19057.0,19324.0,15048.0,14683.0,15155.0,4392.0,5830.0,6546.0,3723.0,3422.0,4038.0,4157.0,2388.0,2363.0,2446.0,1355.0,1610.0,640.0,536.0,177.0,299.0,253.0
Resto 2a Seccion,san antonio de areco,19532.0,18376.0,19856.0,16336.0,14364.0,16601.0,6718.0,6505.0,8681.0,6043.0,3812.0,4891.0,1571.0,1777.0,1199.0,1446.0,545.0,463.0,696.0,470.0,562.0,652.0,486.0
